Zip,Area Class
1,
2,E
3,
4,F
5,I
6,A
7,A
8,B
9,A
10,A
11,A
12,B
13,E
14,D
15,D
16,D
17,E
18,E
19,E
20,E
21,E
22,E
23,E
24,E
25,C
26,C
27,E
28,C
29,C
30,F
31,F
32,E
33,E
34,E
35,E
36,E
37,C
38,F
39,D
40,C
41,C
42,C
43,D
44,C
45,D
46,C
47,C
48,C
49,C
50,C
51,C
52,C
53,C
54,C
55,E
56,C
57,C
58,C
59,C
60,D
61,D
62,D
63,F
64,F
65,F
66,F
67,F
68,F
69,F
70,G
71,G
72,G
73,G
74,G
75,G
76,G
77,G
78,G
79,G
80,G
81,G
82,G
83,G
84,F
85,G
86,G
87,G
88,G
89,G
90,D
91,D
92,D
93,D
94,D
95,D
96,D
97,D
98,D
99,D
100,H
101,H
102,H
103,H
104,H
105,H
106,H
107,H
108,H
109,H
110,K
111,H
112,H
113,H
114,H
115,I
116,H
117,I
118,I
119,I
120,C
121,C
122,C
123,C
124,D
125,F
126,F
127,F
128,D
129,E
130,B
131,B
132,B
133,B
134,B
135,B
136,E
137,C
138,C
139,C
140,B
141,B
142,B
143,B
144,A
145,A
146,A
147,B
148,B
149,B
150,D
151,D
152,D
153,D
154,D
155,A
156,D
157,A
158,B
159,A
160,D
161,C
162,A
163,B
164,C
165,C
166,B
167,B
168,B
169,D
170,D
171,D
172,D
173,C
174,C
175,E
176,E
177,D
178,F
179,F
180,F
181,F
182,F
183,F
184,F
185,F
186,F
187,F
188,D
189,G
190,G
191,G
192,G
193,G
194,G
195,E
196,E
197,D
198,D
199,D
200,C
201,C
202,E
203,E
204,E
205,E
206,C
207,C
208,C
209,C
210,B
211,B
212,B
213,
214,B
215,B
216,B
217,B
218,B
219,D
220,C
221,C
222,C
223,C
224,C
225,C
226,C
227,C
228,C
229,C
230,E
231,E
232,E
233,D
234,D
235,D
236,D
237,D
238,E
239,C
240,C
241,C
242,E
243,E
244,D
245,C
246,C
247,D
248,D
249,D
250,D
251,D
252,D
253,D
254,C
255,D
256,D
257,D
258,D
259,D
260,C
261,C
262,B
263,B
264,B
265,D
266,D
267,C
268,B
269,
270,C
271,C
272,C
273,C
274,C
275,C
276,C
277,C
278,C
279,D
280,D
281,D
282,D
283,D
284,D
285,D
286,D
287,D
288,C
289,D
290,D
291,D
292,D
293,D
294,E
295,E
296,D
297,E
298,C
299,E
300,E
301,E
302,E
303,E
304,D
305,C
306,C
307,D
308,C
309,C
310,D
311,E
312,D
313,D
314,D
315,D
316,C
317,C
318,B
319,B
320,E
321,D
322,E
323,E
324,E
325,E
326,D
327,E
328,E
329,E
330,G
331,G
332,G
333,G
334,F
335,F
336,F
337,F
338,E
339,D
340,G
341,D
342,D
343,
344,D
345,
346,F
347,E
348,
349,F
350,D
351,D
352,D
353,
354,D
355,C
356,C
357,C
358,C
359,C
360,C
361,C
362,C
363,C
364,A
365,B
366,B
367,B
368,B
369,B
370,D
371,D
372,D
373,C
374,D
375,D
376,C
377,C
378,C
379,C
380,B
381,B
382,C
383,D
384,D
385,D
386,B
387,B
388,B
389,B
390,B
391,B
392,B
393,B
394,D
395,D
396,B
397,B
398,F
399,E
400,C
401,C
402,C
403,B
404,B
405,B
406,C
407,C
408,D
409,D
410,D
411,F
412,D
413,D
414,C
415,D
416,C
417,C
418,C
419,B
420,D
421,C
422,B
423,B
424,D
425,C
426,D
427,B
428,
429,
430,F
431,F
432,F
433,E
434,E
435,E
436,E
437,C
438,E
439,C
440,D
441,D
442,E
443,E
444,C
445,C
446,B
447,B
448,C
449,C
450,D
451,D
452,D
453,E
454,E
455,E
456,C
457,C
458,E
459,D
460,E
461,E
462,E
463,E
464,E
465,D
466,D
467,F
468,F
469,E
470,D
471,C
472,E
473,E
474,D
475,D
476,D
477,D
478,D
479,E
480,B
481,B
482,B
483,B
484,B
485,B
486,B
487,B
488,B
489,B
490,B
491,B
492,C
493,B
494,B
495,B
496,A
497,A
498,A
499,A
500,A
501,B
502,A
503,A
504,C
505,C
506,C
507,C
508,C
509,B
510,B
511,C
512,C
513,C
514,C
515,E
516,C
517,
518,
519,
520,B
521,B
522,C
523,C
524,C
525,C
526,C
527,C
528,C
529,
530,F
531,E
532,F
533,
534,E
535,F
536,
537,F
538,D
539,E
540,B
541,D
542,F
543,F
544,E
545,E
546,F
547,F
548,D
549,D
550,D
551,D
552,
553,D
554,D
555,D
556,D
557,D
558,D
559,F
560,D
561,C
562,C
563,D
